City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
99,Muscat,OM,2021-07-17 03:48:27,23.6139,58.5922,86.02,74,78,14.43
100,Bulgan,MN,2021-07-17 03:51:11,48.8125,103.5347,71.94,64,1,2.44
101,Saint-Philippe,RE,2021-07-17 03:51:12,-21.3585,55.7679,69.39,86,85,15.28
102,Jumla,NP,2021-07-17 03:51:12,29.2747,82.1838,68.04,84,100,4.25
103,Sambava,MG,2021-07-17 03:51:12,-14.2667,50.1667,68.09,78,45,9.75
104,Ternate,ID,2021-07-17 03:51:13,0.8,127.4,79.39,78,100,12.21
105,Chiredzi,ZW,2021-07-17 03:51:13,-21.05,31.6667,49.57,86,19,2.3
106,Namatanai,PG,2021-07-17 03:51:13,-3.6667,152.4333,84.13,74,100,11.79
107,Beringovskiy,RU,2021-07-17 03:51:14,63.05,179.3167,54.95,72,40,8.12
108,Castro,BR,2021-07-17 03:51:14,-24.7911,-50.0119,54.3,99,100,2.48
109,Mahibadhoo,MV,2021-07-17 03:51:14,3.7833,72.9667,82.53,76,21,10.89
110,Varberg,SE,2021-07-17 03:51:14,57.1056,12.2508,67.24,90,0,7.45
111,Jamestown,US,2021-07-17 03:51:15,42.097,-79.2353,70.92,95,90,1.01
112,Praya,CV,2021-07-17 03:51:15,14.9215,-23.5087,73.94,88,20,8.05
113,Andijon,UZ,2021-07-17 03:51:15,40.7821,72.3442,74.55,99,85,1.5
114,Chabahar,IR,2021-07-17 03:51:16,25.2919,60.643,86.36,78,100,11.74
115,Arona,ES,2021-07-17 03:51:16,28.0996,-16.681,73.31,51,0,2.3
116,Pedernales,DO,2021-07-17 03:51:16,18.0384,-71.744,80.62,67,56,5.77
117,Popondetta,PG,2021-07-17 03:51:17,-8.7537,148.2534,90.1,47,100,5.99
118,Maniitsoq,GL,2021-07-17 03:51:17,65.4167,-52.9,47.62,78,43,6.22
119,Waingapu,ID,2021-07-17 03:51:17,-9.6567,120.2641,84.27,57,95,10.71
120,Vardo,NO,2021-07-17 03:51:18,70.3705,31.1107,52.77,79,88,19.44
121,Newcastle,AU,2021-07-17 03:51:18,-32.9272,151.7765,58.08,69,75,8.99
122,Longyan,CN,2021-07-17 03:51:18,25.1072,117.0225,82.87,81,100,2.66
123,Amapa,BR,2021-07-17 03:51:19,1.0,-52.0,70.21,99,100,1.61
124,Owando,CG,2021-07-17 03:51:19,-0.4819,15.8999,72.68,60,71,3.53
125,Domoni,KM,2021-07-17 03:51:19,-12.2569,44.5319,75.69,73,37,11.97
126,Lorengau,PG,2021-07-17 03:51:19,-2.0226,147.2712,84.54,79,95,11.81
127,Piacabucu,BR,2021-07-17 03:51:20,-10.4056,-36.4344,72.79,87,14,6.17
128,Hualmay,PE,2021-07-17 03:51:20,-11.0964,-77.6139,62.96,84,27,7.02
129,Namibe,AO,2021-07-17 03:51:21,-15.1961,12.1522,67.53,61,0,7.07
130,Port Pirie,AU,2021-07-17 03:51:21,-33.1833,138.0167,59.09,59,22,18.61
131,Itaqui,BR,2021-07-17 03:51:21,-29.1253,-56.5531,51.08,84,0,0.87
132,Iqaluit,CA,2021-07-17 03:51:21,63.7506,-68.5145,60.53,63,75,8.01
133,Hithadhoo,MV,2021-07-17 03:51:22,-0.6,73.0833,82.54,74,90,7.52
