City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
198,Lufilufi,WS,-13.8745,-171.5986,89.38,79,0,18.72,light rain
199,Broken Hill,AU,-31.95,141.4333,55.11,50,9,23.02,clear sky
200,Ibra,OM,22.6906,58.5334,85.08,61,94,2.95,overcast clouds
201,Udarnyy,RU,54.3409,42.8611,56.05,80,7,4.72,clear sky
202,Komsomolskiy,UZ,40.4272,71.7189,86.72,30,0,0.0,clear sky
203,Paamiut,GL,61.994,-49.6678,42.6,91,100,13.22,light rain
204,Sovetskiy,RU,61.3614,63.5842,59.41,72,46,6.93,scattered clouds
205,Muswellbrook,AU,-32.2667,150.9,52.99,73,71,13.35,broken clouds
206,Matagami,CA,49.7502,-77.6328,59.11,82,1,2.3,clear sky
207,Cidreira,BR,-30.1811,-50.2056,59.85,81,0,5.68,clear sky
208,Krasnoselkup,RU,65.7,82.4667,63.39,67,97,15.39,overcast clouds
209,Sao Filipe,CV,14.8961,-24.4956,73.71,75,16,9.89,few clouds
210,Kulu,TR,39.0951,33.0799,62.42,63,5,9.73,clear sky
211,Flinders,AU,-34.5833,150.8552,63.21,62,67,16.53,broken clouds
212,Grindavik,IS,63.8424,-22.4338,55.9,100,90,19.57,drizzle
213,Gat,IL,31.61,34.7642,77.68,100,61,9.62,broken clouds
214,Codrington,AU,-38.2667,141.9667,52.61,71,36,16.53,light rain
215,Namatanai,PG,-3.6667,152.4333,84.61,70,60,8.21,broken clouds
216,Camacupa,AO,-12.0167,17.4833,48.47,31,45,5.44,scattered clouds
217,Challans,FR,46.8436,-1.8749,64.96,82,36,17.09,scattered clouds
218,Kodiak,US,57.79,-152.4072,51.49,96,100,9.17,overcast clouds
219,Sehithwa,BW,-20.4667,22.7167,41.76,26,0,7.02,clear sky
220,Sao Joao Da Barra,BR,-21.6403,-41.0511,67.17,70,0,7.2,clear sky
221,Beringovskiy,RU,63.05,179.3167,52.68,87,100,7.31,overcast clouds
222,Gazanjyk,TM,39.2446,55.5154,85.89,59,0,8.75,clear sky
223,Iskateley,RU,67.6803,53.1512,46.8,65,100,5.32,overcast clouds
224,Bukama,CD,-9.2,25.85,67.96,45,31,2.44,scattered clouds
225,Sur,OM,22.5667,59.5289,89.6,60,86,11.65,overcast clouds
226,Quetta,PK,30.199,67.0097,78.35,45,68,1.99,broken clouds
227,The Valley,AI,18.217,-63.0578,82.26,83,2,23.42,clear sky
228,Wiang Sa,TH,8.6359,99.3666,90.66,78,100,7.14,overcast clouds
229,Miura,JP,35.14,139.6192,92.14,69,9,2.26,clear sky
230,Isla Aguada,MX,18.7833,-91.4667,82.69,80,100,12.01,overcast clouds
231,Ojinaga,MX,29.5667,-104.4167,90.55,29,1,4.61,clear sky
232,Pemangkat,ID,1.1667,108.9667,85.68,69,81,9.26,broken clouds
233,Volokonovka,RU,50.4827,37.8563,63.93,70,63,5.3,broken clouds
234,Nuuk,GL,64.1835,-51.7216,41.88,86,100,35.01,moderate rain
235,Beipiao,CN,41.7919,120.7792,87.64,50,1,15.41,clear sky
236,Nabire,ID,-3.3667,135.4833,78.76,81,100,1.21,overcast clouds
237,Nakhon Phanom,TH,17.3333,104.4167,78.48,94,100,15.9,light rain
238,Chokurdakh,RU,70.6333,147.9167,48.78,57,98,14.43,overcast clouds
239,Balsas,BR,-7.5325,-46.0356,74.08,48,0,6.29,clear sky
240,Nadym,RU,65.5333,72.5167,58.53,69,100,9.4,overcast clouds
241,Corcoran,US,36.098,-119.5604,97.41,15,6,13.27,clear sky
242,Hofn,IS,64.2539,-15.2082,53.4,99,100,5.79,overcast clouds
243,Flagstaff,US,35.1981,-111.6513,59.79,94,90,5.99,moderate rain
244,Nantucket,US,41.2835,-70.0995,68.97,77,1,0.0,clear sky
245,Qandala,SO,11.472,49.8728,89.29,46,91,23.15,overcast clouds
246,Homer,US,59.6425,-151.5483,64.08,86,93,5.99,overcast clouds
247,Algodones,MX,20.3888,-105.4773,82.94,89,48,2.42,scattered clouds
248,Coahuayana,MX,18.7333,-103.6833,79.63,93,57,0.27,broken clouds
249,Linhares,BR,-19.3911,-40.0722,66.0,72,88,4.18,overcast clouds
250,Ballina,AU,-28.8667,153.5667,71.78,46,0,17.27,clear sky
251,Termoli,IT,41.9888,14.9895,77.27,58,0,3.65,clear sky
252,Zielona Gora,PL,51.9355,15.5064,63.97,37,37,4.47,scattered clouds
253,Dawei,MM,14.0833,98.2,77.95,95,100,10.09,light rain
254,Miranda,CO,3.2499,-76.2281,69.93,73,100,4.68,overcast clouds
255,Ust-Uda,RU,54.1742,103.0304,71.67,48,0,4.41,clear sky
256,Boguchany,RU,58.3814,97.4531,79.5,41,7,5.12,clear sky
257,Katsuura,JP,35.1333,140.3,87.91,69,14,10.02,few clouds
258,Nishihara,JP,26.1842,127.7558,82.06,94,90,35.68,light intensity shower rain
259,Lazaro Cardenas,MX,17.9583,-102.2,81.36,83,97,1.48,overcast clouds
260,Mae Hong Son,TH,19.3003,97.9685,80.74,78,75,0.0,broken clouds
261,Xingtai,CN,37.0631,114.4942,84.6,69,9,4.79,light rain
262,Faanui,PF,-16.4833,-151.75,78.13,67,26,12.35,scattered clouds
263,Trat,TH,12.5,102.5,84.4,93,100,8.77,overcast clouds
264,Te Anau,NZ,-45.4167,167.7167,51.37,73,44,2.28,light rain
265,Alice Springs,AU,-23.7,133.8833,62.15,29,49,11.5,scattered clouds
266,Sao Felix Do Xingu,BR,-6.6447,-51.995,70.99,54,73,1.81,broken clouds
267,Awbari,LY,26.5921,12.7805,76.71,23,0,9.44,clear sky
268,Bouillante,GP,16.1304,-61.7692,78.03,83,51,12.39,broken clouds
269,Pevek,RU,69.7008,170.3133,39.6,94,94,4.81,overcast clouds
270,Tigil,RU,57.8,158.6667,62.78,78,100,6.55,overcast clouds
271,Richards Bay,ZA,-28.783,32.0377,55.89,56,100,13.85,light rain
272,Thompson,CA,55.7435,-97.8558,62.76,77,75,12.66,broken clouds
273,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,94,94,6.29,overcast clouds
274,Shenzhen,CN,22.5455,114.0683,91.22,95,4,4.85,clear sky
275,Marawi,PH,7.9986,124.2928,83.79,50,11,7.47,light rain
276,Kasangulu,CD,-4.5911,15.1708,67.08,79,76,3.09,broken clouds
277,Eseka,CM,3.65,10.7667,70.3,100,93,1.25,overcast clouds
278,Dunedin,NZ,-45.8742,170.5036,52.81,50,12,13.0,few clouds
279,San Francisco De Macoris,DO,19.2952,-70.2554,80.6,95,8,2.04,clear sky
280,Warrnambool,AU,-38.3833,142.4833,52.81,70,37,18.72,scattered clouds
281,Mehamn,NO,71.0357,27.8492,44.67,89,100,33.35,overcast clouds
282,Waipawa,NZ,-41.4122,175.5153,56.03,67,0,6.08,clear sky
283,San Quintin,MX,30.4833,-115.95,69.51,83,83,9.33,broken clouds
284,Poum,NC,-20.2333,164.0167,74.37,80,0,9.13,clear sky
285,Dukat,RU,62.55,155.55,50.34,88,100,1.79,overcast clouds
286,Batagay-Alyta,RU,67.8006,130.4114,72.82,40,14,6.35,few clouds
287,Tazovskiy,RU,67.4667,78.7,50.92,80,100,21.05,overcast clouds
288,Leh,IN,34.1667,77.5833,66.07,46,13,3.33,few clouds
289,Morehead,US,37.2711,-87.1764,76.14,95,1,0.0,clear sky
290,Tecolutla,MX,20.4833,-97.0167,79.9,86,4,8.7,clear sky
291,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,70.39,60,75,6.71,broken clouds
292,Ribeira Grande,PT,38.5167,-28.7,70.92,95,84,7.72,broken clouds
293,Paraopeba,BR,-19.2757,-44.4033,61.95,68,2,5.26,clear sky
